ID,post_author,post_date,post_date_gmt,post_content,post_title,post_excerpt,post_status,comment_status,ping_status,post_password,post_name,to_ping,pinged,post_modified,post_modified_gmt,post_content_filtered,post_parent,guid,menu_order,post_type,post_mime_type,comment_count
2,1,2013-01-30 00:17:49,2013-01-30 00:17:49,,Post Archives,,trash,open,open,,archives,,,2013-04-19 20:36:42,2013-04-20 04:36:42,,0,http://notesfromalaska.com/?page_id=2,0,page,,0
16,4,2013-04-17 20:38:28,2013-04-18 04:38:28,,Post Archives,,inherit,open,open,,2-revision-4,,,2013-04-17 20:38:28,2013-04-18 04:38:28,,2,http://www.notesfromalaska.com/2013/04/17/2-revision-4/,0,revision,,0
22,4,2013-04-19 20:56:43,2013-04-20 04:56:43,,Post Archives,,publish,open,open,,post-archives,,,2013-04-19 20:56:43,2013-04-20 04:56:43,,0,http://www.notesfromalaska.com/?page_id=22,0,page,,0
23,4,2013-04-19 20:56:37,2013-04-20 04:56:37,,Post Archives,,inherit,open,open,,22-revision-v1,,,2013-04-19 20:56:37,2013-04-20 04:56:37,,22,http://www.notesfromalaska.com/2013/04/19/22-revision/,0,revision,,0
38,3,2013-04-20 18:42:58,2013-04-21 02:42:58,,image,,inherit,open,open,,image,,,2013-04-20 18:42:58,2013-04-21 02:42:58,,0,http://www.notesfromalaska.com/wp-content/uploads/2013/04/image.jpg,0,attachment,image/jpeg,0
39,4,2013-04-20 21:48:02,2013-04-21 05:48:02,,Subscribe,,publish,open,open,,subscribe,,,2013-04-20 21:48:02,2013-04-21 05:48:02,,0,http://www.notesfromalaska.com/?page_id=39,0,page,,0
40,4,2013-04-20 21:47:56,2013-04-21 05:47:56,,Subscribe,,inherit,open,open,,39-revision,,,2013-04-20 21:47:56,2013-04-21 05:47:56,,39,http://www.notesfromalaska.com/2013/04/20/39-revision/,0,revision,,0
71,3,2013-05-01 12:07:50,2013-05-01 20:07:50,"<a href=""http://www.notesfromalaska.com/wp-content/uploads/2013/05/image-e1382385570723.jpg""><img class=""aligncenter size-large wp-image-74"" alt=""image"" src=""http://www.notesfromalaska.com/wp-content/uploads/2013/05/image-e1382385570723-1024x764.jpg"" width=""1024"" height=""764"" /></a>

Today we were supposed to fly out to the cabin. The plan was to be at the Juneau airport early and pack the single engine plane with two SUV loads of provisions. We would then fly northwest for an hour, land on the beach, taxi up to the cabin and unload all the stuff we had been accumulating over the past several weeks....no, make that months.

Well...Mother Nature has gotten involved in our best laid plans. She has decided to rain and snow and blow so that small planes can't fly. They may not fly for several days.

Two days ago the weather was beautiful. Nature is so close all around up here. Yesterday We saw 12 Bald Eagles sitting in the same tree. The Mendenhall glacier is just four miles up the road. The air is so fresh here it seems the source of it must be very near by.

This is the first ""official"" note I have entered in this electronic journal. I'll add to it from time to time. The plan is to share with my family and friends some of the wonderful things I come across here.","May 1, 2013",,publish,open,open,,may-1-2013-3,,,2013-10-22 07:50:38,2013-10-22 15:50:38,,0,http://www.notesfromalaska.com/?p=71,0,post,,7
73,3,2013-05-01 11:44:33,2013-05-01 19:44:33,"Today we are supposed to fly out to the cabin. The plan is to be at the Juneau Alaska airport early, pack the single engine plane with two SUV loads of provisions. We would then fly northwest for an hour, land on the beach, taxi up to the cabin and unload all the stuff we had been accumulating<a href=""http://www.notesfromalaska.com/wp-content/uploads/2013/05/image.jpg""><img class=""alignnone size-medium wp-image-72"" alt=""image"" src=""http://www.notesfromalaska.com/wp-content/uploads/2013/05/image-300x224.jpg"" width=""300"" height=""224"" /></a> over the past several weeks....no, make that months.

Well...Mother Nature has gotten involved in our best laid plans. She has decided to rain and snow and blow so that the small planes can't fly. They may not fly for several days.

Two days ago the weather was beautiful. Nature is so close all around up here. We saw 12 Bald Eagles sitting in one tree. The Mendenhall glacier is just four miles up the road. The air is so fresh it seems the source of it must be very near by.

This is the first ""official"" note I have entered in this electronic journal. I'll add to it from time to time. The plan is to share with my family and friends some of the wonderful things I come across here.","May 1, 2013",,inherit,open,open,,71-revision-v1,,,2013-05-01 11:44:33,2013-05-01 19:44:33,,71,http://www.notesfromalaska.com/2013/05/01/71-revision/,0,revision,,0
74,3,2013-05-01 11:58:40,2013-05-01 19:58:40,,image,,inherit,open,open,,image-2,,,2013-05-01 11:58:40,2013-05-01 19:58:40,,71,http://www.notesfromalaska.com/wp-content/uploads/2013/05/image.jpg,0,attachment,image/jpeg,0
